Date,Open,High,Low,Close,Adj Close,Volume
15-11-2019,1160,1164.550049,1150.050049,1160.199951,1136.265747,11851
18-11-2019,1159.800049,1169,1156.5,1165.949951,1141.897095,22115
19-11-2019,1169,1177,1164.650024,1175.400024,1151.152344,25933
20-11-2019,1176,1182,1170.050049,1178.900024,1154.580078,24672
21-11-2019,1178.550049,1180.449951,1165,1166.599976,1142.533813,33305
22-11-2019,1174.900024,1174.900024,1153.5,1162.800049,1138.812378,12337
25-11-2019,1153.550049,1164.800049,1150.099976,1162.75,1138.763184,24923
26-11-2019,1169.699951,1172.599976,1116.699951,1149.800049,1126.080322,30320
27-11-2019,1165,1165,1148,1150.449951,1126.716797,46709
28-11-2019,1150.5,1172.349976,1148.050049,1154.650024,1130.830322,24724
29-11-2019,1154.650024,1168,1146.650024,1157.099976,1133.229736,122195
02-12-2019,1164.949951,1164.949951,1145.5,1155.150024,1131.32019,35420
03-12-2019,1165,1165,1147.5,1150,1126.276245,41220
04-12-2019,1156.25,1199,1144.25,1185.050049,1160.603271,45104
05-12-2019,1187,1195.849976,1145,1153.099976,1129.312378,53943
06-12-2019,1161,1167.949951,1127,1144.75,1121.134521,66050
09-12-2019,1145.849976,1169.75,1144,1151.150024,1127.402466,68111
10-12-2019,1158.099976,1159.300049,1131.150024,1150.75,1127.010864,61766
11-12-2019,1158,1158,1144.5,1150.599976,1126.86377,8179
12-12-2019,1154.800049,1154.800049,1137.550049,1144.25,1120.644897,105326
13-12-2019,1136,1144.699951,1125.25,1140.550049,1117.021362,35863
16-12-2019,1143,1155.199951,1141,1150.050049,1126.325317,12934
17-12-2019,1150.099976,1154,1143.75,1151,1127.255615,25263
18-12-2019,1152.400024,1208.900024,1149.900024,1182.75,1158.350586,124357
19-12-2019,1187,1187,1151,1157.150024,1133.278809,14987
20-12-2019,1161,1162,1150,1154.300049,1130.487671,12134
23-12-2019,1156,1167,1153,1162.449951,1138.469482,13177
24-12-2019,1168,1168,1147.25,1158.900024,1134.992798,26897
26-12-2019,1159.900024,1163,1144.849976,1159.900024,1135.972046,8336
27-12-2019,1160.900024,1162,1149.5,1160.050049,1136.119019,10426
30-12-2019,1160.099976,1164.800049,1150.150024,1160.5,1136.55957,16293
31-12-2019,1160.5,1172.449951,1153.849976,1168.849976,1144.737427,16035
01-01-2020,1175,1184.949951,1162.550049,1176.5,1152.229614,24631
02-01-2020,1178,1226,1178,1220.199951,1195.028076,117401
03-01-2020,1220.25,1305,1209,1280.050049,1253.643555,134085
06-01-2020,1278,1278,1240,1257.449951,1231.509644,51416
07-01-2020,1265.099976,1313.949951,1265.099976,1283,1256.532471,310933
08-01-2020,1278,1314.900024,1270.099976,1275.449951,1249.138184,138549
09-01-2020,1289.949951,1294.400024,1268,1277.099976,1250.754272,71333
10-01-2020,1280,1292.099976,1273,1275.599976,1249.285156,127300
13-01-2020,1270.050049,1293,1253.199951,1275.849976,1249.529907,387918
14-01-2020,1269.900024,1300,1256.900024,1299.75,1272.937012,124427
15-01-2020,1301,1318,1287.699951,1314.150024,1287.039917,63139
16-01-2020,1318,1320.75,1268,1276.400024,1250.068726,29506
17-01-2020,1284.300049,1287.949951,1260,1264.349976,1238.267212,34926
20-01-2020,1276.599976,1294.099976,1264,1278.050049,1251.684692,41477
21-01-2020,1278,1303.300049,1276.050049,1289.699951,1263.09436,155821
22-01-2020,1292,1304,1285,1299.5,1272.692139,56250
23-01-2020,1300,1308,1291,1301.800049,1274.944824,92031
24-01-2020,1307,1389.949951,1301.800049,1375.550049,1347.17334,273691
27-01-2020,1381,1425,1376,1384.550049,1355.987671,94546
28-01-2020,1390,1407.150024,1372.199951,1389.449951,1360.786499,94197
29-01-2020,1400,1409.050049,1375,1402,1373.077759,45445
30-01-2020,1405,1405,1375,1382,1353.490234,68807
31-01-2020,1390,1400,1372,1385.949951,1357.358765,29213
03-02-2020,1304,1363,1304,1354.25,1326.312622,25243
04-02-2020,1375,1388,1354.5,1382.099976,1353.588135,129723
